credit_card,cpu,purchase_date
2601-1759-3670-5135,AMD Ryzen 9 8967X,2019-03-08
1866-3789-3916-3808,Intel Core i6-4433K,2019-08-15
6279-1057-3978-3013,AMD Ryzen 6 7622X,2019-08-06
6541-6942-9261-4313,Intel Core i1-4260K,2018-08-24
7110-9818-2980-4219,AMD Ryzen 4 1503X,2019-11-17
3554-9473-8126-3298,Intel Core i7-8569K,2018-08-17
3441-6379-4275-8727,AMD Ryzen 7 5939X,2020-05-07
7790-6149-9473-9397,Intel Core i5-7731K,2020-08-11
5180-4712-1372-5820,AMD Ryzen 2 5623X,2020-09-19
6043-4194-2990-4268,Intel Core i6-4366K,2017-12-16
1919-4738-9441-7165,AMD Ryzen 9 4134X,2018-08-09
6979-5638-7685-4301,Intel Core i3-4857K,2019-01-11
2239-6154-5182-7153,AMD Ryzen 1 1723X,2018-10-01
5815-6255-3729-9198,Intel Core i2-4201K,2019-09-28
5734-2654-3994-3376,AMD Ryzen 2 7368X,2018-04-04
9257-6164-9455-3297,Intel Core i4-7349K,2018-02-11
3098-4476-4485-3627,AMD Ryzen 9 2551X,2020-03-02
1057-9064-5689-4788,Intel Core i2-5665K,2020-07-12
6638-5353-1465-6524,AMD Ryzen 5 4188X,2019-07-16
2976-3514-5744-1795,Intel Core i9-3427K,2019-03-06
6857-8573-1022-3545,AMD Ryzen 6 1651X,2020-03-18
7749-9615-5488-4771,Intel Core i1-6411K,2020-03-25
3251-2976-4140-6297,AMD Ryzen 7 5415X,2019-03-30
6082-7449-5626-6821,Intel Core i5-3565K,2020-07-04
7785-2070-5421-5871,AMD Ryzen 1 1178X,2020-07-17
8742-3002-4122-6763,Intel Core i3-9998K,2019-06-04
2897-1221-2880-2928,AMD Ryzen 8 7316X,2017-10-28
5437-9821-7864-2489,Intel Core i1-1869K,2018-05-18
2158-1164-5663-3455,AMD Ryzen 5 6646X,2020-07-08
3083-3671-4703-1237,Intel Core i1-6101K,2017-12-09
7184-1740-8813-8522,AMD Ryzen 9 1893X,2020-08-09
4027-5036-3047-6047,Intel Core i1-8357K,2019-08-21
1740-7496-1899-7140,AMD Ryzen 3 3518X,2018-05-27
9894-2323-6316-8144,Intel Core i9-2884K,2018-03-21
8317-3462-8919-3957,AMD Ryzen 3 7397X,2019-05-16
4050-9996-3915-6236,Intel Core i9-4136K,2018-02-08
1072-7577-5638-2310,AMD Ryzen 5 3122X,2020-08-24
8060-9635-7338-9857,Intel Core i6-8747K,2018-07-24
3423-9854-4825-9886,AMD Ryzen 9 9467X,2020-08-23
6165-6456-4316-5725,Intel Core i3-3100K,2018-08-16
8001-7314-7039-1664,AMD Ryzen 8 8824X,2018-04-25
4436-8785-2310-7949,Intel Core i8-2800K,2018-10-01
6183-1076-5456-6775,AMD Ryzen 7 3914X,2018-02-24
2019-3040-1831-7775,Intel Core i9-2314K,2017-12-23
1336-8556-7062-4423,AMD Ryzen 6 8177X,2019-10-30
3101-8231-2015-7797,Intel Core i1-1666K,2020-05-20
3320-2520-6566-6030,AMD Ryzen 5 9584X,2017-12-09
7615-1697-5685-7929,Intel Core i6-6954K,2020-05-26
6797-6723-2854-8989,AMD Ryzen 3 6170X,2019-10-13
5306-2110-8681-9131,Intel Core i8-9530K,2020-01-28
7410-7358-4902-1444,AMD Ryzen 6 6428X,2019-10-25
5132-9564-6216-7700,Intel Core i6-7538K,2019-12-02
5915-3032-6686-5437,AMD Ryzen 5 7433X,2019-10-04
6008-9014-6008-5993,Intel Core i6-1394K,2020-04-20
1655-3421-8999-2521,AMD Ryzen 1 6625X,2019-11-09
3550-2128-3407-9437,Intel Core i3-3640K,2019-01-04
5017-9642-4400-9384,AMD Ryzen 8 1734X,2019-11-26
1161-4376-4483-8354,Intel Core i1-7290K,2017-12-28
6356-5639-1384-3469,AMD Ryzen 9 6437X,2018-06-17
4875-6080-6169-1417,Intel Core i6-5948K,2020-01-26
1644-5017-8698-3420,AMD Ryzen 2 8666X,2020-02-05
4718-8496-4216-8987,Intel Core i9-9771K,2018-02-28
5736-6175-1203-3065,AMD Ryzen 3 4539X,2020-03-14
8954-7983-7257-5565,Intel Core i5-8881K,2020-09-06
7992-6111-2403-8590,AMD Ryzen 8 8157X,2018-08-21
9833-1591-5546-5751,Intel Core i1-2250K,2019-01-17
7153-6376-4117-9479,AMD Ryzen 9 3895X,2017-12-04
4704-9843-5111-6154,Intel Core i1-9216K,2017-11-04
3471-5636-1044-5700,AMD Ryzen 6 3511X,2020-08-13
9553-8604-2359-3888,Intel Core i6-8541K,2019-08-04
2291-2659-3474-3639,AMD Ryzen 4 1263X,2018-03-22
8485-3156-1002-3412,Intel Core i4-3764K,2020-05-09
5384-5685-2951-6656,AMD Ryzen 5 7477X,2018-10-03
6322-6257-1731-2754,Intel Core i3-1605K,2020-08-29
3735-7059-6464-3820,AMD Ryzen 8 1484X,2020-08-27
6758-4427-9707-8363,Intel Core i1-9983K,2020-02-26
9690-7209-5524-2674,AMD Ryzen 3 4951X,2020-10-06
7512-8349-7954-7423,Intel Core i4-4373K,2017-12-05
8556-1841-1862-7303,AMD Ryzen 4 2582X,2018-09-08
8805-6104-3985-6798,Intel Core i1-1878K,2018-03-23
5191-8170-3274-9239,AMD Ryzen 9 8739X,2019-11-19
6181-3412-6262-7592,Intel Core i2-1401K,2018-06-12
9692-6673-7999-6237,AMD Ryzen 8 5419X,2017-12-09
1096-9468-8126-4223,Intel Core i1-2110K,2019-09-09
4851-7575-6586-7181,AMD Ryzen 7 6245X,2020-07-14
9455-3676-1602-8781,Intel Core i4-5342K,2019-02-05
9182-5009-7885-9874,AMD Ryzen 8 3143X,2019-01-28
9312-2380-7976-8387,Intel Core i8-1430K,2020-01-12
3827-6461-7033-6392,AMD Ryzen 8 9771X,2019-11-19
9434-3804-6449-7506,Intel Core i5-3371K,2018-12-29
5513-5684-4470-2488,AMD Ryzen 9 4465X,2019-01-26
2641-2298-6704-2079,Intel Core i6-3551K,2019-08-05
3628-4363-4890-9307,AMD Ryzen 7 5758X,2018-12-13
9637-1680-2288-1667,Intel Core i6-9177K,2018-10-05
9971-7423-6355-3996,AMD Ryzen 6 5120X,2018-08-04
7467-7477-9908-7270,Intel Core i8-9942K,2018-02-21
5764-2075-4095-3074,AMD Ryzen 3 6900X,2020-05-30
4334-7374-5832-5104,Intel Core i2-3757K,2019-07-15
7747-9634-7418-1300,AMD Ryzen 4 3833X,2018-11-26
6666-4740-7775-9321,Intel Core i7-5141K,2020-04-03
9641-4911-2603-6243,AMD Ryzen 8 5307X,2019-02-11
1668-8760-1260-7327,Intel Core i3-1639K,2018-03-03
6389-8850-4153-4513,AMD Ryzen 6 8199X,2018-03-27
6290-4844-9604-6997,Intel Core i1-9996K,2019-09-16
1984-1817-6421-1547,AMD Ryzen 2 1223X,2020-02-29
4294-1785-9837-3014,Intel Core i8-8765K,2017-11-15
9194-3527-7827-8114,AMD Ryzen 9 4323X,2017-11-30
5105-9895-2935-8031,Intel Core i7-7104K,2018-10-16
6406-3972-1493-7939,AMD Ryzen 1 8697X,2020-09-16
4884-8661-6371-8634,Intel Core i6-9888K,2020-01-30
8825-6888-1355-4931,AMD Ryzen 6 9804X,2019-08-23
6366-9932-4253-1387,Intel Core i4-6992K,2018-01-06
3740-2973-8584-3518,AMD Ryzen 2 9752X,2018-09-05
3359-4393-6451-6789,Intel Core i8-5412K,2019-02-28
2526-1014-5925-4143,AMD Ryzen 3 4677X,2020-08-29
7218-3647-3297-8231,Intel Core i9-8731K,2017-12-31
8210-2932-6958-3780,AMD Ryzen 4 5163X,2020-02-23
4590-3169-5608-6991,Intel Core i8-2145K,2020-02-16
8797-3166-4859-5188,AMD Ryzen 1 2101X,2018-04-12
3380-8621-2114-9299,Intel Core i8-1994K,2020-09-01
9264-4832-3320-2358,AMD Ryzen 7 5211X,2017-12-30
6558-9795-5537-2431,Intel Core i7-8467K,2018-12-10
3677-2314-7061-7160,AMD Ryzen 7 4814X,2020-03-21
2248-1274-7678-4738,Intel Core i6-4609K,2018-07-01
2123-4222-8755-2150,AMD Ryzen 4 6944X,2020-01-27
6853-1811-5909-9664,Intel Core i5-2468K,2020-07-10
7144-3488-7417-6062,AMD Ryzen 7 2532X,2020-08-14
2438-5277-1049-9474,Intel Core i4-7637K,2019-04-29
3160-3981-6134-9075,AMD Ryzen 2 8256X,2018-09-17
6809-9629-8681-1798,Intel Core i3-5995K,2020-05-24
7681-2889-6309-3235,AMD Ryzen 9 6638X,2019-01-26
4003-3132-5757-4174,Intel Core i5-5827K,2018-12-31
3093-6563-1984-7140,AMD Ryzen 4 3403X,2018-05-27
3246-6801-9146-1542,Intel Core i8-7490K,2019-12-22
1871-1888-9750-4062,AMD Ryzen 8 2179X,2018-08-26
2626-1051-5674-3957,Intel Core i8-8186K,2018-07-10
9910-2440-4700-5995,AMD Ryzen 1 4873X,2018-05-15
6012-9538-9568-9336,Intel Core i3-3964K,2019-03-09
2303-7570-5086-1556,AMD Ryzen 4 9541X,2019-05-08
3663-1138-5950-8627,Intel Core i6-7380K,2018-06-03
2500-5249-1188-1599,AMD Ryzen 2 1373X,2019-12-22
8363-9645-7291-5264,Intel Core i8-4484K,2020-04-25
7954-1653-4238-1726,AMD Ryzen 4 4499X,2017-12-21
2117-1086-5977-5316,Intel Core i5-6345K,2018-11-25
9355-6724-3816-1330,AMD Ryzen 9 9378X,2019-09-05
7323-1145-5168-1012,Intel Core i7-2487K,2019-12-01
9535-4753-9875-9492,AMD Ryzen 3 9974X,2018-08-02
9307-6526-4400-6578,Intel Core i1-5897K,2020-09-23
9760-8065-4710-3770,AMD Ryzen 5 9221X,2019-06-09
4854-2225-6621-2042,Intel Core i3-6696K,2020-02-15
9978-1499-8201-2814,AMD Ryzen 4 2312X,2018-03-22
4447-2246-7932-5195,Intel Core i9-3787K,2018-05-15
4653-5427-4177-5830,AMD Ryzen 1 5139X,2019-12-28
4674-3528-7244-2017,Intel Core i7-6745K,2018-01-15
7252-8347-4980-9563,AMD Ryzen 6 3465X,2018-01-30
8657-7872-8926-4924,Intel Core i8-1907K,2020-05-31
8054-4900-8929-2373,AMD Ryzen 4 6499X,2019-01-30
3910-7981-5556-2173,Intel Core i8-5399K,2019-10-16
1689-7927-9894-6170,AMD Ryzen 6 2892X,2020-08-12
9813-9526-1885-4436,Intel Core i6-7258K,2018-09-14
4849-7219-7220-9765,AMD Ryzen 5 4992X,2018-12-14
3660-7690-5006-2318,Intel Core i6-2144K,2019-08-30
4856-7688-2295-7185,AMD Ryzen 4 3121X,2018-03-28
9887-3550-9758-9069,Intel Core i8-6341K,2019-08-30
4007-4997-6265-4068,AMD Ryzen 4 4193X,2018-02-22
4274-6896-3274-4259,Intel Core i7-6957K,2018-03-04
1913-7087-4429-1438,AMD Ryzen 1 2418X,2020-06-18
9719-9474-5552-6134,Intel Core i2-4562K,2018-12-07
8843-6623-5023-3766,AMD Ryzen 8 6151X,2019-01-31
8350-7169-9609-9090,Intel Core i1-8401K,2018-11-21
7593-5025-1975-3680,AMD Ryzen 6 7768X,2019-02-10
5807-7540-4368-6705,Intel Core i5-7663K,2020-06-07
7234-4087-7946-6092,AMD Ryzen 8 9104X,2020-02-20
6298-5442-7799-9508,Intel Core i4-4137K,2019-11-03
4362-7443-2819-7616,AMD Ryzen 6 2986X,2020-01-01
7976-3592-9577-6923,Intel Core i6-2889K,2019-07-29
2041-2252-8057-9935,AMD Ryzen 8 7586X,2019-11-21
3914-6425-6771-1626,Intel Core i6-6126K,2018-12-12
7677-9534-7616-6669,AMD Ryzen 2 4157X,2019-08-06
9699-8005-9838-2604,Intel Core i7-1215K,2018-08-04
7099-8975-3097-2360,AMD Ryzen 6 5329X,2019-11-11
6398-6260-2390-6526,Intel Core i2-8962K,2020-06-28
1836-9147-3059-3822,AMD Ryzen 1 7813X,2018-05-23
8950-8850-7645-6317,Intel Core i1-3165K,2020-09-02
4306-3962-4242-4253,AMD Ryzen 4 6156X,2019-07-28
5551-1183-6103-4749,Intel Core i8-5205K,2018-10-17
7204-8329-5355-7048,AMD Ryzen 3 2369X,2020-05-04
6312-7069-8144-5404,Intel Core i5-9772K,2019-06-01
4960-7658-7225-4102,AMD Ryzen 1 6569X,2019-11-13
8751-2385-8944-9315,Intel Core i3-8614K,2020-06-21
7965-4116-3585-5598,AMD Ryzen 6 7114X,2019-02-05
6628-3179-5600-1248,Intel Core i8-8620K,2019-07-25
7199-7869-5908-1646,AMD Ryzen 5 1414X,2020-01-16
8785-9100-7725-9234,Intel Core i3-3214K,2020-09-08
2130-2006-7844-8150,AMD Ryzen 7 5819X,2018-09-12
8618-5046-9664-2389,Intel Core i7-6929K,2019-08-22
6000-6559-1822-8674,AMD Ryzen 7 1884X,2019-05-13
4416-2044-8661-5197,Intel Core i3-4292K,2019-12-29
3636-4037-6711-5766,AMD Ryzen 4 4286X,2019-10-09
2894-4332-5556-5315,Intel Core i5-3950K,2020-05-18
2942-8722-2326-1572,AMD Ryzen 2 8834X,2020-09-02
1252-7617-1566-9937,Intel Core i5-1384K,2019-11-27
9375-6730-4079-5444,AMD Ryzen 7 4910X,2017-11-19
1143-5794-3622-9063,Intel Core i6-6815K,2019-11-14
6166-1219-2532-9646,AMD Ryzen 4 4651X,2019-07-05
9514-2716-5681-6316,Intel Core i1-4467K,2020-03-12
8308-5362-8060-3260,AMD Ryzen 9 8359X,2018-10-15
7221-4762-2277-6856,Intel Core i2-2577K,2019-04-04
4856-5503-3348-7397,AMD Ryzen 4 5938X,2018-10-02
5204-8258-9983-8347,Intel Core i9-3251K,2018-08-13
9100-2497-1364-6432,AMD Ryzen 2 6409X,2019-08-21
8521-3716-2912-5043,Intel Core i1-3123K,2020-07-22
8886-1945-7569-6479,AMD Ryzen 7 4888X,2018-11-25
4031-9429-4935-6160,Intel Core i5-2420K,2019-01-12
6146-9839-8760-6987,AMD Ryzen 1 3999X,2020-10-10
6160-5489-4726-6716,Intel Core i4-7564K,2020-05-01
8332-9687-9874-2905,AMD Ryzen 5 1753X,2019-02-13
5305-3014-6133-9289,Intel Core i6-5995K,2018-07-08
7588-5519-9053-6534,AMD Ryzen 6 2943X,2020-10-13
8412-2095-7324-1931,Intel Core i3-8173K,2019-12-04
9992-2487-2913-7402,AMD Ryzen 1 3131X,2018-09-11
1187-7373-8637-5118,Intel Core i2-2755K,2019-08-30
3549-1732-7682-3857,AMD Ryzen 2 7595X,2019-04-13
5634-2074-7558-9522,Intel Core i9-2912K,2019-03-12
4687-9243-9562-3664,AMD Ryzen 2 5304X,2020-05-15
9918-3540-2486-1959,Intel Core i5-5759K,2018-05-01
1940-3602-1184-4494,AMD Ryzen 3 8799X,2018-03-31
5499-4499-3358-9675,Intel Core i7-4420K,2018-09-14
6826-5092-2396-1382,AMD Ryzen 1 8757X,2019-11-25
2116-5701-9581-6781,Intel Core i7-8547K,2020-06-26
3920-7429-8358-4228,AMD Ryzen 3 2589X,2018-06-12
7649-2447-4066-5102,Intel Core i8-5803K,2019-08-26
2286-5377-3420-7021,AMD Ryzen 7 8530X,2017-12-01
4066-8821-2702-2041,Intel Core i6-2210K,2019-11-22
6063-7698-9289-2223,AMD Ryzen 6 9962X,2020-08-27
1588-8380-3530-7611,Intel Core i9-3591K,2018-10-29
3107-4302-9207-5816,AMD Ryzen 6 7699X,2018-09-12
6085-5152-8012-4588,Intel Core i7-6304K,2020-01-23
3478-6383-2007-4153,AMD Ryzen 8 7946X,2020-09-30
9266-1539-8014-5369,Intel Core i2-9941K,2019-04-09
5818-8899-8986-1812,AMD Ryzen 2 7181X,2018-07-09
4257-4546-4730-9831,Intel Core i9-6867K,2018-06-24
5733-2959-7209-6445,AMD Ryzen 6 3820X,2018-08-22
3857-9612-7699-9703,Intel Core i5-5182K,2018-05-26
6436-3558-1122-2220,AMD Ryzen 9 6559X,2017-11-23
2614-9508-7855-4442,Intel Core i4-1967K,2020-07-13
4550-6887-6825-2800,AMD Ryzen 1 8955X,2018-07-04
8472-7088-4757-5446,Intel Core i2-1367K,2020-03-30
9712-4823-6457-5398,AMD Ryzen 6 8621X,2019-09-29
9654-3511-4019-6521,Intel Core i1-9999K,2020-02-05
7196-7619-8832-6185,AMD Ryzen 7 4293X,2018-04-29
8768-1514-9047-9358,Intel Core i9-2436K,2019-05-15
3151-9729-6567-9900,AMD Ryzen 4 2982X,2020-10-01
8196-5257-4629-8942,Intel Core i7-4447K,2020-02-26
2183-7508-6802-5761,AMD Ryzen 6 8738X,2018-09-16
6734-7204-5854-4122,Intel Core i2-6826K,2019-01-18
3614-3844-1790-6304,AMD Ryzen 9 4495X,2019-10-22
7746-2740-6165-8886,Intel Core i8-1394K,2019-10-18
8057-2586-7981-4927,AMD Ryzen 4 2670X,2020-02-13
9982-8953-5285-2560,Intel Core i2-9526K,2020-03-18
3569-3863-9707-1920,AMD Ryzen 3 6492X,2020-07-07
4742-1566-7550-8949,Intel Core i3-6262K,2019-12-13
9045-1957-1360-2445,AMD Ryzen 1 4156X,2019-12-22
2185-3633-4190-2168,Intel Core i9-6199K,2018-11-23
6491-6498-4750-1324,AMD Ryzen 1 5781X,2019-01-11
4176-6384-6888-8924,Intel Core i7-5209K,2020-05-03
4197-4730-5150-1053,AMD Ryzen 5 8385X,2019-02-16
3248-9723-5771-4855,Intel Core i1-3135K,2020-08-23
3379-4360-8056-6139,AMD Ryzen 5 1862X,2018-03-22
9363-6545-8548-4395,Intel Core i4-6794K,2018-11-02
4667-8581-1451-9800,AMD Ryzen 9 8871X,2018-11-25
2093-6603-5945-8104,Intel Core i9-7547K,2019-09-03
5759-9325-6862-2133,AMD Ryzen 3 1721X,2019-06-19
9846-3735-9379-1718,Intel Core i5-7378K,2018-01-17
3883-4163-4838-7344,AMD Ryzen 2 6704X,2020-04-07
4925-9163-7991-6234,Intel Core i2-3717K,2020-07-20
8615-2825-7463-8445,AMD Ryzen 4 7517X,2020-06-05
7844-5722-1785-9786,Intel Core i2-3827K,2020-01-11
8157-6982-5927-3663,AMD Ryzen 7 3294X,2018-01-27
7759-8269-3411-7420,Intel Core i5-9280K,2019-07-14
6795-3264-4729-7225,AMD Ryzen 5 7741X,2018-05-30
2839-4138-3346-7357,Intel Core i7-8367K,2019-07-02
1358-7889-1382-5968,AMD Ryzen 9 4573X,2019-04-12
8012-5767-2187-8809,Intel Core i4-9594K,2017-12-05
8927-1481-1755-6823,AMD Ryzen 4 4432X,2020-08-05
7696-8383-5243-7008,Intel Core i5-5424K,2019-04-06
5002-9997-6763-6863,AMD Ryzen 4 2827X,2018-07-29
5138-3744-9237-7560,Intel Core i1-4212K,2018-03-21
4091-3731-1593-5645,AMD Ryzen 4 3378X,2019-03-29
4800-8540-1681-3458,Intel Core i2-6944K,2019-03-08
6871-2945-2675-8138,AMD Ryzen 1 1159X,2018-01-07
3847-7229-3367-6282,Intel Core i6-8244K,2018-06-11
9411-4821-3564-1064,AMD Ryzen 9 7311X,2020-02-26
5531-4864-8162-8300,Intel Core i3-7440K,2019-08-01
8742-7296-8776-1822,AMD Ryzen 8 9735X,2018-11-26
7273-7103-4007-1096,Intel Core i8-2443K,2018-09-07
4710-1072-9170-1758,AMD Ryzen 6 2985X,2019-01-13
5316-3040-2228-9807,Intel Core i1-2687K,2018-05-04
9223-9508-9235-6266,AMD Ryzen 6 5716X,2020-04-30
3639-2117-5738-5772,Intel Core i9-3577K,2018-10-15
6977-7619-5208-8408,AMD Ryzen 4 8245X,2020-05-20
3343-2418-7229-7229,Intel Core i5-6745K,2019-03-04
4360-5416-5700-8798,AMD Ryzen 7 8160X,2020-06-24
1743-2761-5306-1539,Intel Core i6-9543K,2018-02-20
1009-6849-2777-2294,AMD Ryzen 6 9219X,2018-02-26
3098-2798-7188-8656,Intel Core i6-2343K,2018-09-02
5255-6338-2582-5950,AMD Ryzen 4 6896X,2020-05-12
7647-2146-8576-2694,Intel Core i4-3479K,2019-11-30
6142-3646-2388-2605,AMD Ryzen 5 3878X,2017-12-16
6586-8038-8171-8909,Intel Core i3-3195K,2019-07-05
2381-8838-6804-3342,AMD Ryzen 5 6182X,2019-04-06
6106-8781-8855-8315,Intel Core i3-4575K,2019-01-17
1058-2643-4183-1778,AMD Ryzen 8 6609X,2019-10-30
2936-8187-1700-5410,Intel Core i7-6870K,2018-08-16
3465-7197-1377-8593,AMD Ryzen 6 4214X,2019-09-26
9712-6405-1315-9511,Intel Core i1-4598K,2019-06-16
6208-1672-7196-8327,AMD Ryzen 2 1635X,2019-08-31
9449-1266-2020-8346,Intel Core i1-6146K,2019-07-15
3080-3909-7505-8779,AMD Ryzen 9 1579X,2020-05-22
1744-6431-5493-5020,Intel Core i7-5618K,2020-08-24
9038-8683-9805-5910,AMD Ryzen 2 8590X,2020-03-26
2963-6641-6865-1449,Intel Core i9-5928K,2020-10-12
6163-2687-5799-4691,AMD Ryzen 3 2341X,2019-08-09
1609-7570-6939-8652,Intel Core i6-2949K,2018-08-10
5815-5037-3746-3428,AMD Ryzen 6 1954X,2020-05-12
9916-4630-9587-9223,Intel Core i3-4481K,2020-10-18
5979-7422-8698-6302,AMD Ryzen 5 9827X,2018-08-18
7484-6792-6936-3646,Intel Core i1-5562K,2018-11-01
8023-8837-6942-7588,AMD Ryzen 2 5975X,2018-06-14
5978-4167-3937-1334,Intel Core i7-4372K,2018-10-19
5727-5066-6167-7797,AMD Ryzen 2 1367X,2019-08-04
3841-6959-5504-9885,Intel Core i3-8400K,2018-08-09
1148-7419-4735-2400,AMD Ryzen 5 3222X,2019-06-29
2427-5435-2246-1108,Intel Core i8-5512K,2019-08-02
6643-2919-7230-1337,AMD Ryzen 5 9698X,2020-04-22
8982-9441-5766-2734,Intel Core i2-9834K,2020-09-25
5200-8534-2962-4466,AMD Ryzen 3 8497X,2018-09-11
5080-1582-5668-9493,Intel Core i8-8765K,2019-10-25
7575-3008-8447-6402,AMD Ryzen 6 9281X,2020-05-26
4611-2831-5737-8934,Intel Core i6-5225K,2018-07-27
9273-5521-2586-4808,AMD Ryzen 5 2292X,2019-03-24
9820-4480-1316-6344,Intel Core i1-2315K,2020-08-16
3092-3986-6696-3425,AMD Ryzen 2 3185X,2020-07-11
1307-6601-1708-1459,Intel Core i8-7216K,2018-02-27
4816-8638-2557-3877,AMD Ryzen 3 1309X,2019-05-06
9259-8886-4817-8116,Intel Core i3-1588K,2019-03-24
1816-6275-7057-6586,AMD Ryzen 6 5599X,2018-03-14
4195-2087-4295-8755,Intel Core i2-8108K,2017-10-31
7428-4800-7173-7921,AMD Ryzen 7 7214X,2018-05-11
2001-5540-1187-5661,Intel Core i1-6603K,2020-08-14
5769-5692-2174-6395,AMD Ryzen 3 5795X,2020-03-21
6290-8714-8356-2426,Intel Core i3-1227K,2019-12-06
2231-5895-6371-9024,AMD Ryzen 7 6346X,2018-02-07
7571-9245-2614-2925,Intel Core i5-6652K,2017-12-26
9832-3188-4396-7377,AMD Ryzen 2 4318X,2018-03-17
1973-5613-4809-6869,Intel Core i5-8817K,2020-06-16
1904-4068-4546-7679,AMD Ryzen 7 5445X,2020-09-18
7467-4246-4619-8011,Intel Core i6-9638K,2018-01-09
1381-4823-8889-4217,AMD Ryzen 9 8669X,2020-02-26
7347-9867-8808-6151,Intel Core i7-8446K,2018-07-06
6100-9441-8642-1300,AMD Ryzen 3 9373X,2018-03-15
3920-9080-7553-2810,Intel Core i7-1459K,2019-10-05
2074-3599-2161-6722,AMD Ryzen 3 3458X,2019-03-25
6234-1504-5160-2236,Intel Core i6-6935K,2019-05-02
6659-4522-1934-3246,AMD Ryzen 2 9790X,2019-06-25
5116-1986-9806-6593,Intel Core i3-3547K,2019-06-15
4631-2677-4703-8801,AMD Ryzen 3 3817X,2018-01-07
8425-8929-3231-6578,Intel Core i3-8227K,2019-09-25
8765-5833-5432-2490,AMD Ryzen 7 5566X,2020-01-31
1605-3372-9481-9847,Intel Core i5-6259K,2020-07-01
8158-6632-1709-1275,AMD Ryzen 4 5835X,2018-11-02
3034-6322-3406-6494,Intel Core i9-6406K,2017-11-22
3788-3950-9085-9700,AMD Ryzen 4 8266X,2018-08-18
9157-1514-3352-7043,Intel Core i3-6401K,2017-12-23
8398-4263-8321-4866,AMD Ryzen 7 6859X,2018-04-11
5616-7908-9568-5653,Intel Core i8-1537K,2020-03-09
5336-1808-6434-6453,AMD Ryzen 8 5895X,2020-01-17
3288-4746-5714-4946,Intel Core i6-4108K,2020-10-04
7317-7738-2851-1924,AMD Ryzen 9 8703X,2020-03-27
7024-2319-4111-5466,Intel Core i7-2321K,2018-09-08
4224-7133-4746-8950,AMD Ryzen 8 9463X,2019-03-16
7131-1525-5478-3285,Intel Core i8-6163K,2019-07-26
9228-1075-1221-7883,AMD Ryzen 8 5997X,2019-07-23
3411-6580-8634-1262,Intel Core i9-1257K,2018-07-10
3055-4876-9440-5513,AMD Ryzen 1 9499X,2019-11-11
3878-4603-5372-7646,Intel Core i3-7487K,2019-06-11
2629-9303-1085-8601,AMD Ryzen 7 4792X,2017-11-09
4968-2910-2793-3375,Intel Core i6-2604K,2018-03-20
5946-8618-9567-7711,AMD Ryzen 7 1643X,2018-04-23
5608-8207-2524-5147,Intel Core i2-1104K,2019-01-22
5743-8036-7722-3962,AMD Ryzen 4 1878X,2019-04-18
6567-9702-1895-7546,Intel Core i5-9529K,2018-05-30
7446-5518-3648-7485,AMD Ryzen 6 7768X,2020-01-09
8004-1498-9610-9535,Intel Core i2-7562K,2018-05-23
3032-1997-8387-9791,AMD Ryzen 5 3164X,2019-07-04
2937-7950-3959-6256,Intel Core i8-3271K,2020-10-03
2469-3487-9201-9462,AMD Ryzen 6 2852X,2020-02-19
2775-5389-1862-3406,Intel Core i1-2794K,2020-10-16
9463-8231-4193-5456,AMD Ryzen 3 6162X,2020-06-19
1802-4660-9844-8044,Intel Core i4-8211K,2019-12-19
6355-3612-5274-6368,AMD Ryzen 1 7769X,2018-11-03
6597-5989-6868-6125,Intel Core i1-8919K,2019-11-05
9538-4639-5634-2281,AMD Ryzen 4 1812X,2019-01-31
6005-1071-2854-5813,Intel Core i4-9732K,2018-01-16
3932-5623-4769-2103,AMD Ryzen 8 6576X,2019-05-27
3684-6095-8696-4245,Intel Core i3-7523K,2019-02-07
9578-6492-1243-3670,AMD Ryzen 2 3159X,2019-03-14
1354-8694-1361-6116,Intel Core i2-8239K,2018-11-29
4676-4295-7772-5593,AMD Ryzen 1 2201X,2018-09-25
8046-6393-4854-6212,Intel Core i2-5488K,2019-03-16
3935-9368-4151-9305,AMD Ryzen 3 6359X,2018-02-26
5341-2096-2535-2628,Intel Core i6-1169K,2018-05-12
1479-7576-2209-2954,AMD Ryzen 9 8946X,2019-10-15
2640-6618-4591-5057,Intel Core i4-1253K,2019-02-27
4897-5850-2335-6281,AMD Ryzen 5 4163X,2019-08-02
2556-4639-7397-8642,Intel Core i7-4142K,2020-08-14
8358-4302-2890-6029,AMD Ryzen 2 4483X,2019-01-22
2735-4807-7763-4776,Intel Core i2-9783K,2019-08-06
8014-8131-3181-5643,AMD Ryzen 1 3861X,2020-04-04
1210-2388-5136-3652,Intel Core i5-1693K,2020-07-17
8190-2864-2493-5359,AMD Ryzen 2 4867X,2019-01-11
9575-9533-9788-6485,Intel Core i9-3848K,2019-12-27
3200-2013-8427-7953,AMD Ryzen 1 7524X,2019-05-14
2987-6760-8465-2214,Intel Core i7-3816K,2020-09-15
4430-9797-4141-4301,AMD Ryzen 1 9634X,2019-05-29
7417-4028-8891-1019,Intel Core i3-9373K,2019-07-03
6914-6257-3514-2792,AMD Ryzen 1 6781X,2020-07-07
8073-8776-4264-1512,Intel Core i7-5841K,2018-01-07
6076-8100-6409-3606,AMD Ryzen 6 4666X,2019-02-17
1966-1028-1027-4873,Intel Core i5-6946K,2019-10-11
